"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","test_tc_tb[test_case0]","tests","Thu Aug 14 18:59:34 BDT 2025","passed","Thu Aug 14 18:59:34 BDT 2025","","test_TC_TB_01","",""
"","3198","test_tc_mb_man_003[test_case0]","tests","Sun Aug 17 10:28:36 BDT 2025","passed","Sun Aug 17 10:28:39 BDT 2025","","test_TC_MB_MAN_003","",""
"","733","test_tc_tb[test_case0]","tests","Thu Aug 14 18:59:55 BDT 2025","failed","Thu Aug 14 18:59:56 BDT 2025","","test_TC_TB_03","",""
"","4061","test_tc_mb_cus_002[test_case0]","tests","Sun Aug 17 10:27:30 BDT 2025","passed","Sun Aug 17 10:27:34 BDT 2025","","test_TC_MB_CUS_004","",""
"","4019","test_tc_mb_cus_005[test_case0]","tests","Sun Aug 17 10:27:41 BDT 2025","passed","Sun Aug 17 10:27:45 BDT 2025","","test_TC_MB_CUS_005","",""
"","3049","test_tc_mb_man_002[test_case0]","tests","Sun Aug 17 10:28:26 BDT 2025","passed","Sun Aug 17 10:28:29 BDT 2025","","test_TC_MB_MAN_002","",""
"","3095","test_tc_mb_cus_001[test_case0]","tests","Sun Aug 17 10:26:56 BDT 2025","passed","Sun Aug 17 10:26:59 BDT 2025","","test_TC_MB_CUS_001","",""
"","314","test_tc_tb[test_case0]","tests","Thu Aug 14 18:59:44 BDT 2025","passed","Thu Aug 14 18:59:45 BDT 2025","","test_TC_TB_02","",""
"","4858","test_tc_mb_man_001[test_case0]","tests","Sun Aug 17 10:28:14 BDT 2025","passed","Sun Aug 17 10:28:19 BDT 2025","","test_TC_MB_MAN_001","",""
"","4025","test_tc_mb_man_005[test_case0]","tests","Sun Aug 17 10:28:57 BDT 2025","passed","Sun Aug 17 10:29:01 BDT 2025","","test_TC_MB_MAN_005","",""
"","5274","test_tc_mb_cus_003[test_case0]","tests","Sun Aug 17 10:27:17 BDT 2025","passed","Sun Aug 17 10:27:23 BDT 2025","","test_TC_MB_CUS_003","",""
"","5262","test_tc_mb_cus_006[test_case0]","tests","Sun Aug 17 10:27:51 BDT 2025","passed","Sun Aug 17 10:27:56 BDT 2025","","test_TC_MB_CUS_006","",""
"","5256","test_tc_mb_cus_002[test_case0]","tests","Sun Aug 17 10:27:06 BDT 2025","passed","Sun Aug 17 10:27:11 BDT 2025","","test_TC_MB_CUS_002","",""
"","4907","test_tc_mb_man_004[test_case0]","tests","Sun Aug 17 10:28:45 BDT 2025","passed","Sun Aug 17 10:28:50 BDT 2025","","test_TC_MB_MAN_004","",""
"","5247","test_tc_mb_cus_007[test_case0]","tests","Sun Aug 17 10:28:04 BDT 2025","passed","Sun Aug 17 10:28:09 BDT 2025","","test_TC_MB_CUS_007","",""
